inventor,inventorLabel,genderLabel,birth
http://www.wikidata.org/entity/Q94031,Rudolf Kompfner,masculin,1909-05-16T00:00:00Z
http://www.wikidata.org/entity/Q94629,Christian Leo Müller,masculin,1799-02-13T00:00:00Z
http://www.wikidata.org/entity/Q95295,Louis Leitz,masculin,1846-05-02T00:00:00Z
http://www.wikidata.org/entity/Q95418,Paul Schmidt,masculin,1898-01-01T00:00:00Z
http://www.wikidata.org/entity/Q95722,Fritz Fiedler,masculin,1899-01-09T00:00:00Z
http://www.wikidata.org/entity/Q95730,Emil Wohlwill,masculin,1835-11-24T00:00:00Z
http://www.wikidata.org/entity/Q96105,Hermann Föttinger,masculin,1877-02-09T00:00:00Z
http://www.wikidata.org/entity/Q96196,Paul Schlack,masculin,1897-12-22T00:00:00Z
http://www.wikidata.org/entity/Q96221,Heinrich Ehrhardt,masculin,1840-11-17T00:00:00Z
http://www.wikidata.org/entity/Q96388,Max Schumann,masculin,1827-06-27T00:00:00Z
http://www.wikidata.org/entity/Q96493,Michael Sladek,masculin,1946-10-01T00:00:00Z
http://www.wikidata.org/entity/Q96711,Franz Stolze,masculin,1836-03-14T00:00:00Z
http://www.wikidata.org/entity/Q96780,Charles Fey,masculin,1862-02-02T00:00:00Z
http://www.wikidata.org/entity/Q96780,Charles Fey,masculin,1862-09-09T00:00:00Z
http://www.wikidata.org/entity/Q97095,Georg Knorr,masculin,1859-10-19T00:00:00Z
http://www.wikidata.org/entity/Q97146,Erwin Otto Marx,masculin,1893-02-15T00:00:00Z
http://www.wikidata.org/entity/Q98068,Manfred Curry,masculin,1899-12-11T00:00:00Z
http://www.wikidata.org/entity/Q98078,Wilhelm Runge,masculin,1895-06-10T00:00:00Z
http://www.wikidata.org/entity/Q98138,Erich Schumm,masculin,1907-11-09T00:00:00Z
http://www.wikidata.org/entity/Q98637,Max Himmelheber,masculin,1904-04-24T00:00:00Z
http://www.wikidata.org/entity/Q99127,Wilhelm von Faber du Faur,masculin,1786-12-02T00:00:00Z
http://www.wikidata.org/entity/Q99398,Matthäus Hipp,masculin,1813-01-01T00:00:00Z
http://www.wikidata.org/entity/Q99582,Hermann Rietschel,masculin,1847-04-19T00:00:00Z
http://www.wikidata.org/entity/Q100472,Ludwig Karl Böhm,masculin,1859-06-16T00:00:00Z
http://www.wikidata.org/entity/Q101508,Richard Steiff,masculin,1877-02-07T00:00:00Z
http://www.wikidata.org/entity/Q101516,Sergueï Prokoudine-Gorski,masculin,1863-08-30T00:00:00Z
http://www.wikidata.org/entity/Q102157,Lothar Lammers,masculin,1926-04-24T00:00:00Z
http://www.wikidata.org/entity/Q102164,Hermann Henschel,masculin,1843-12-12T00:00:00Z
http://www.wikidata.org/entity/Q102289,Richard Buckminster Fuller,masculin,1895-07-12T00:00:00Z
http://www.wikidata.org/entity/Q102490,Evangelista Torricelli,masculin,1608-10-15T00:00:00Z
http://www.wikidata.org/entity/Q102640,Georg Hartmann,masculin,1489-01-01T00:00:00Z
http://www.wikidata.org/entity/Q102751,Dietrich Uhlhorn,masculin,1764-06-03T00:00:00Z
http://www.wikidata.org/entity/Q103014,Johannes Plendl,masculin,1900-01-01T00:00:00Z
